,countrycode,country,year,rgdpe,pop,emp,hc,ck,rtfpna,delta,rgdpew,const,popgrowth,ck_1,investment,i_y,g,ly,lschool,ls,lngd,ls_lngd,lsch_lngd,t,gt
357,ARG,Argentina,1982,127661.9921875,28.993989,9.79526424407959,2.316767930984497,235138.421875,0.8692458271980286,0.041576653718948364,13033.031984273512,1,0.015541945608105191,247653.28125,22291.128117316868,0.17461053000471272,-0.05410941456198004,11.757141364105017,0.8401730811696133,-1.7451973280898263,-5.806086079073983,-1.7451973280898263,6.646259160243597,31,-1.6773918514213813
358,ARG,Argentina,1983,139502.765625,29.454739,10.101948738098145,2.3508665561676025,247653.28125,0.8788236975669861,0.041151758283376694,13809.490548975371,1,0.015642644125958845,262313.5625,24851.649218085106,0.178144491306282,0.010898511721376824,11.845839705315857,0.8547840074908516,-1.7251603090683147,-2.692773770262391,-1.7251603090683147,3.5475577777532425,32,0.3487523750840584
359,ARG,Argentina,1984,148994.609375,29.920907,10.345932960510254,2.3854668140411377,262313.5625,0.8749690055847168,0.04078945517539978,14401.273422484239,1,0.015580008988363878,279101.9375,27488.00229949318,0.1844899115129022,-0.0044055183185526745,11.911665405581857,0.8693948343455618,-1.6901604971434405,-2.957205150008939,-1.6901604971434405,3.826599984354501,33,-0.14538210451223826
360,ARG,Argentina,1985,142946.046875,30.388780999999998,10.431583404541016,2.420576333999634,279101.9375,0.8043465614318848,0.04037223383784294,13703.197427609462,1,0.015396274039422588,305964.53125,38130.562435345026,0.266747932306855,-0.08780101456157294,11.870222543468117,0.8840056663596062,-1.3214511402572895,,-1.3214511402572895,,34,-2.9852344950934797
361,ARG,Argentina,1986,162835.359375,30.857242,10.739701271057129,2.4418883323669434,305964.53125,0.8425771594047546,0.039861198514699936,15162.00081037932,1,0.015181557703698903,336762.59375,42994.17541861336,0.26403463955024886,0.04537340888741653,12.00049490414525,0.8927716467014941,-1.3316749740255456,-2.2984320776547156,-1.3316749740255456,3.1912037243562095,35,1.5880693110595787
362,ARG,Argentina,1987,175065.09375,31.326473,10.961248397827148,2.463388204574585,336762.59375,0.8459891676902771,0.03980068117380142,15971.273288971648,1,0.01497873699346877,370912.8125,47553.59937510616,0.27163381549387916,0.004033158361634747,12.0729131480298,0.9015377212433378,-1.3033003862837564,-2.8333995604020195,-1.3033003862837564,3.734937281645357,36,0.14519370101885087
363,ARG,Argentina,1988,183604.21875,31.795514999999998,11.177413940429688,2.485077142715454,370912.8125,0.8137977719306946,0.03926758095622063,16426.359418066055,1,0.014751828992233597,403987.59375,47639.63014254323,0.2594691476420295,-0.039556996676471654,12.120537734845716,0.9103037024130165,-1.3491174749972275,-4.236202183231744,-1.3491174749972275,5.1465058856447605,37,-1.463608877029451
364,ARG,Argentina,1989,180500.640625,32.263559,11.275477409362793,2.5069570541381836,403987.59375,0.7509446144104004,0.0389363057911396,16008.248171835108,1,0.014506893055412844,440458.25,52200.44073607668,0.28919809123850126,-0.08369879257958719,12.10348960591775,0.9190696886497662,-1.2406433888628035,,-1.2406433888628035,,38,-3.1805541180243133
365,ARG,Argentina,1990,194594.703125,32.72974,11.586957931518555,2.529029607772827,440458.25,0.7301441431045532,0.038214828819036484,16794.287532163064,1,0.01424334565444146,489520.9375,65894.72412568238,0.33862547678573857,-0.028488171140295837,12.178674229067598,0.927835674923698,-1.082860570572735,-3.7309520914794456,-1.082860570572735,4.658787766403144,39,-1.1110386744715377
366,ARG,Argentina,1991,233984.21875,33.19392,11.95263957977295,2.552567958831787,489520.9375,0.7887377738952637,0.03853137418627739,19575.94531219394,1,0.013983886205666549,559911.3125,89252.28941482981,0.38144576540946656,0.07428784664558374,12.36300895082626,0.937099895122157,-0.963786599806597,-2.0651197338286824,-0.963786599806597,3.002219628950839,40,2.9715138658233498
